Id,Id2,Geography,Total,MarginOfError,Year,formattedAddress
0500000US06045,06045,"Mendocino County, California",86011,*****,2005,"Mendocino County, CA, USA"
0500000US06047,06047,"Merced County, California",237278,*****,2005,"Merced County, CA, USA"
0500000US06053,06053,"Monterey County, California",389004,*****,2005,"Monterey County, CA, USA"
0500000US06055,06055,"Napa County, California",127445,*****,2005,"Napa County, CA, USA"
0500000US06057,06057,"Nevada County, California",97572,*****,2005,"Nevada County, CA, USA"
0500000US06059,06059,"Orange County, California",2944537,*****,2005,"Orange County, CA, USA"
0500000US06061,06061,"Placer County, California",314135,*****,2005,"Placer County, CA, USA"
0500000US06065,06065,"Riverside County, California",1911281,*****,2005,"Riverside County, CA, USA"
0500000US06067,06067,"Sacramento County, California",1337942,*****,2005,"Sacramento County, CA, USA"
0500000US06071,06071,"San Bernardino County, California",1916665,*****,2005,"San Bernardino County, CA, USA"
0500000US06073,06073,"San Diego County, California",2824259,*****,2005,"San Diego County, CA, USA"
0500000US06075,06075,"San Francisco County, California",719077,*****,2005,"San Francisco County, CA, USA"
0500000US06077,06077,"San Joaquin County, California",646259,*****,2005,"San Joaquin County, CA, USA"
0500000US06079,06079,"San Luis Obispo County, California",239638,*****,2005,"San Luis Obispo County, CA, USA"
0500000US06081,06081,"San Mateo County, California",689271,*****,2005,"San Mateo County, CA, USA"
0500000US06083,06083,"Santa Barbara County, California",383393,*****,2005,"Santa Barbara County, CA, USA"
0500000US06085,06085,"Santa Clara County, California",1669890,*****,2005,"Santa Clara County, CA, USA"
0500000US06087,06087,"Santa Cruz County, California",240367,*****,2005,"Santa Cruz County, CA, USA"
0500000US06089,06089,"Shasta County, California",176570,*****,2005,"Shasta County, CA, USA"
0500000US06095,06095,"Solano County, California",395426,*****,2005,"Solano County, CA, USA"
0500000US06097,06097,"Sonoma County, California",453850,*****,2005,"Sonoma County, CA, USA"
0500000US06099,06099,"Stanislaus County, California",497804,*****,2005,"Stanislaus County, CA, USA"
0500000US06101,06101,"Sutter County, California",87444,*****,2005,"Sutter County, CA, USA"
0500000US06107,06107,"Tulare County, California",404909,*****,2005,"Tulare County, CA, USA"
0500000US06111,06111,"Ventura County, California",782759,*****,2005,"Ventura County, CA, USA"
0500000US06113,06113,"Yolo County, California",176609,*****,2005,"Yolo County, CA, USA"
0500000US06115,06115,"Yuba County, California",65818,*****,2005,"Yuba County, CA, USA"
0500000US08001,08001,"Adams County, Colorado",396032,*****,2005,"Adams County, CO, USA"
0500000US08005,08005,"Arapahoe County, Colorado",524207,*****,2005,"Arapahoe County, CO, USA"
0500000US08013,08013,"Boulder County, Colorado",271934,*****,2005,"Boulder County, CO, USA"
0500000US08031,08031,"Denver County, Colorado",545198,*****,2005,"Denver County, CO, USA"
0500000US08035,08035,"Douglas County, Colorado",248950,*****,2005,"Douglas County, CO, USA"
0500000US08041,08041,"El Paso County, Colorado",550130,*****,2005,"El Paso County, CO, USA"
0500000US08059,08059,"Jefferson County, Colorado",519071,*****,2005,"Jefferson County, CO, USA"
0500000US08069,08069,"Larimer County, Colorado",264807,*****,2005,"Larimer County, CO, USA"
0500000US08077,08077,"Mesa County, Colorado",126588,*****,2005,"Mesa County, CO, USA"
0500000US08101,08101,"Pueblo County, Colorado",147187,*****,2005,"Pueblo County, CO, USA"
0500000US08123,08123,"Weld County, Colorado",223966,*****,2005,"Weld County, CO, USA"
0500000US09001,09001,"Fairfield County, Connecticut",884050,*****,2005,"Fairfield County, CT, USA"
0500000US09003,09003,"Hartford County, Connecticut",850068,*****,2005,"Hartford County, CT, USA"
0500000US09005,09005,"Litchfield County, Connecticut",187426,*****,2005,"Litchfield County, CT, USA"
0500000US09007,09007,"Middlesex County, Connecticut",156694,*****,2005,"Middlesex County, CT, USA"
0500000US09009,09009,"New Haven County, Connecticut",817828,*****,2005,"New Haven County, CT, USA"
0500000US09011,09011,"New London County, Connecticut",253468,*****,2005,"New London County, CT, USA"
0500000US09013,09013,"Tolland County, Connecticut",133557,*****,2005,"Tolland County, CT, USA"
0500000US09015,09015,"Windham County, Connecticut",111660,*****,2005,"Windham County, CT, USA"
0500000US10001,10001,"Kent County, Delaware",140205,*****,2005,"Kent County, DE, USA"
0500000US10003,10003,"New Castle County, Delaware",505271,*****,2005,"New Castle County, DE, USA"
0500000US10005,10005,"Sussex County, Delaware",173111,*****,2005,"Sussex County, DE, USA"
0500000US11001,11001,"District of Columbia, District of Columbia",515118,*****,2005,"Washington, DC, USA"
0500000US12001,12001,"Alachua County, Florida",210323,*****,2005,"Alachua County, FL, USA"
0500000US12005,12005,"Bay County, Florida",158141,*****,2005,"Bay County, FL, USA"
0500000US12009,12009,"Brevard County, Florida",521226,*****,2005,"Brevard County, FL, USA"
0500000US12011,12011,"Broward County, Florida",1757590,*****,2005,"Broward County, FL, USA"
0500000US12015,12015,"Charlotte County, Florida",154716,*****,2005,"Charlotte County, FL, USA"
0500000US12017,12017,"Citrus County, Florida",132209,*****,2005,"Citrus County, FL, USA"
0500000US12019,12019,"Clay County, Florida",169528,*****,2005,"Clay County, FL, USA"
0500000US12021,12021,"Collier County, Florida",302514,*****,2005,"Collier County, FL, USA"
0500000US12031,12031,"Duval County, Florida",810698,*****,2005,"Duval County, FL, USA"
0500000US12033,12033,"Escambia County, Florida",274663,*****,2005,"Escambia County, FL, USA"
0500000US12035,12035,"Flagler County, Florida",75757,*****,2005,"Flagler County, FL, USA"
0500000US12053,12053,"Hernando County, Florida",156325,*****,2005,"Hernando County, FL, USA"
0500000US12055,12055,"Highlands County, Florida",94177,*****,2005,"Highlands County, FL, USA"
0500000US12057,12057,"Hillsborough County, Florida",1111717,*****,2005,"Hillsborough County, FL, USA"
0500000US12061,12061,"Indian River County, Florida",126258,*****,2005,"Indian River County, FL, USA"
0500000US12069,12069,"Lake County, Florida",273277,*****,2005,"Lake County, FL, USA"
0500000US12071,12071,"Lee County, Florida",539097,*****,2005,"Lee County, FL, USA"
0500000US12073,12073,"Leon County, Florida",233649,*****,2005,"Leon County, FL, USA"
0500000US12081,12081,"Manatee County, Florida",300828,*****,2005,"Manatee County, FL, USA"
0500000US12083,12083,"Marion County, Florida",295555,*****,2005,"Marion County, FL, USA"
0500000US12085,12085,"Martin County, Florida",136138,*****,2005,"Martin County, FL, USA"
0500000US12086,12086,"Miami-Dade County, Florida",2329187,*****,2005,"Miami, FL, USA"
0500000US12087,12087,"Monroe County, Florida",75074,*****,2005,"Monroe County, FL, USA"
0500000US12091,12091,"Okaloosa County, Florida",177284,*****,2005,"Okaloosa County, FL, USA"
0500000US12095,12095,"Orange County, Florida",1002849,*****,2005,"Orange County, FL, USA"
0500000US12097,12097,"Osceola County, Florida",229134,*****,2005,"Osceola County, FL, USA"
0500000US12099,12099,"Palm Beach County, Florida",1247908,*****,2005,"Palm Beach County, FL, USA"
0500000US12101,12101,"Pasco County, Florida",423356,*****,2005,"Pasco County, FL, USA"
0500000US12103,12103,"Pinellas County, Florida",905158,*****,2005,"Pinellas County, FL, USA"
0500000US12105,12105,"Polk County, Florida",530126,*****,2005,"Polk County, FL, USA"
0500000US12107,12107,"Putnam County, Florida",72148,*****,2005,"Putnam County, FL, USA"
0500000US12109,12109,"St. Johns County, Florida",159235,*****,2005,"St Johns County, FL, USA"
0500000US12111,12111,"St. Lucie County, Florida",238575,*****,2005,"St Lucie County, FL, USA"
0500000US12113,12113,"Santa Rosa County, Florida",140650,*****,2005,"Santa Rosa County, FL, USA"
0500000US12115,12115,"Sarasota County, Florida",359783,*****,2005,"Sarasota County, FL, USA"
0500000US12117,12117,"Seminole County, Florida",398013,*****,2005,"Seminole County, FL, USA"
0500000US12127,12127,"Volusia County, Florida",475189,*****,2005,"Volusia County, FL, USA"
0500000US13015,13015,"Bartow County, Georgia",88189,*****,2005,"Bartow County, GA, USA"
0500000US13021,13021,"Bibb County, Georgia",149248,*****,2005,"Bibb County, GA, USA"
0500000US13045,13045,"Carroll County, Georgia",101762,*****,2005,"Carroll County, GA, USA"
0500000US13051,13051,"Chatham County, Georgia",227915,*****,2005,"Chatham County, GA, USA"
0500000US13057,13057,"Cherokee County, Georgia",182816,*****,2005,"Cherokee County, GA, USA"
0500000US13059,13059,"Clarke County, Georgia",95217,*****,2005,"Clarke County, GA, USA"
0500000US13063,13063,"Clayton County, Georgia",264231,*****,2005,"Clayton County, GA, USA"
0500000US13067,13067,"Cobb County, Georgia",653715,*****,2005,"Cobb County, GA, USA"
0500000US13073,13073,"Columbia County, Georgia",103069,*****,2005,"Columbia County, GA, USA"
0500000US13077,13077,"Coweta County, Georgia",109108,*****,2005,"Coweta County, GA, USA"
0500000US13089,13089,"DeKalb County, Georgia",662973,*****,2005,"Dekalb County, GA, USA"
0500000US13095,13095,"Dougherty County, Georgia",90508,*****,2005,"Dougherty County, GA, USA"
0500000US13097,13097,"Douglas County, Georgia",111765,*****,2005,"Douglas County, GA, USA"
0500000US13113,13113,"Fayette County, Georgia",103643,*****,2005,"Fayette County, GA, USA"
0500000US13115,13115,"Floyd County, Georgia",90124,*****,2005,"Floyd County, GA, USA"
0500000US13117,13117,"Forsyth County, Georgia",139501,*****,2005,"Forsyth County, GA, USA"
0500000US13121,13121,"Fulton County, Georgia",884079,*****,2005,"Fulton County, GA, USA"
0500000US13127,13127,"Glynn County, Georgia",70373,*****,2005,"Glynn County, GA, USA"
0500000US13135,13135,"Gwinnett County, Georgia",719398,*****,2005,"Gwinnett County, GA, USA"
0500000US13139,13139,"Hall County, Georgia",163204,*****,2005,"Hall County, GA, USA"
0500000US13151,13151,"Henry County, Georgia",166871,*****,2005,"Henry County, GA, USA"
0500000US13153,13153,"Houston County, Georgia",123176,*****,2005,"Houston County, GA, USA"
0500000US13185,13185,"Lowndes County, Georgia",89724,*****,2005,"Lowndes County, GA, USA"
0500000US13215,13215,"Muscogee County, Georgia",175930,*****,2005,"Muscogee County, GA, USA"
0500000US13217,13217,"Newton County, Georgia",85474,*****,2005,"Newton County, GA, USA"
0500000US13223,13223,"Paulding County, Georgia",111654,*****,2005,"Paulding County, GA, USA"
0500000US13245,13245,"Richmond County, Georgia",185150,*****,2005,"Richmond County, GA, USA"
0500000US13247,13247,"Rockdale County, Georgia",77375,*****,2005,"Rockdale County, GA, USA"
0500000US13297,13297,"Walton County, Georgia",74866,*****,2005,"Walton County, GA, USA"
0500000US13313,13313,"Whitfield County, Georgia",89734,*****,2005,"Whitfield County, GA, USA"
0500000US15001,15001,"Hawaii County, Hawaii",164437,*****,2005,"Hawaii County, HI, USA"
0500000US15003,15003,"Honolulu County, Hawaii",873177,*****,2005,"Honolulu County, HI, USA"
0500000US15009,15009,"Maui County, Hawaii",138433,70,2005,"Maui County, HI, USA"
0500000US16001,16001,"Ada County, Idaho",336193,*****,2005,"Ada County, ID, USA"
0500000US16005,16005,"Bannock County, Idaho",75817,*****,2005,"Bannock County, ID, USA"
0500000US16019,16019,"Bonneville County, Idaho",90711,*****,2005,"Bonneville County, ID, USA"
0500000US16027,16027,"Canyon County, Idaho",161761,*****,2005,"Canyon County, ID, USA"
0500000US16055,16055,"Kootenai County, Idaho",126079,*****,2005,"Kootenai County, ID, USA"
0500000US16083,16083,"Twin Falls County, Idaho",71334,3242,2005,"Twin Falls County, ID, USA"
0500000US17001,17001,"Adams County, Illinois",64273,*****,2005,"Adams County, IL, USA"
0500000US17019,17019,"Champaign County, Illinois",168902,*****,2005,"Champaign County, IL, USA"
0500000US17031,17031,"Cook County, Illinois",5206357,*****,2005,"Cook County, IL, USA"
0500000US17037,17037,"DeKalb County, Illinois",89223,*****,2005,"Dekalb County, IL, USA"
0500000US17043,17043,"DuPage County, Illinois",913781,*****,2005,"Dupage County, IL, USA"
0500000US17089,17089,"Kane County, Illinois",475683,*****,2005,"Kane County, IL, USA"
0500000US17091,17091,"Kankakee County, Illinois",103593,*****,2005,"Kankakee County, IL, USA"
0500000US17093,17093,"Kendall County, Illinois",79322,*****,2005,"Kendall County, IL, USA"
0500000US17097,17097,"Lake County, Illinois",684726,*****,2005,"Lake County, IL, USA"
0500000US17099,17099,"LaSalle County, Illinois",109658,*****,2005,"Lasalle County, IL, USA"
0500000US17111,17111,"McHenry County, Illinois",302471,*****,2005,"McHenry County, IL, USA"
0500000US17113,17113,"McLean County, Illinois",146894,*****,2005,"McLean County, IL, USA"
0500000US17115,17115,"Macon County, Illinois",106433,*****,2005,"Macon County, IL, USA"
0500000US17119,17119,"Madison County, Illinois",258567,*****,2005,"Madison County, IL, USA"
0500000US17143,17143,"Peoria County, Illinois",175166,*****,2005,"Peoria County, IL, USA"
0500000US17161,17161,"Rock Island County, Illinois",143140,*****,2005,"Rock Island County, IL, USA"
0500000US17163,17163,"St. Clair County, Illinois",255072,*****,2005,"St Clair County, IL, USA"
0500000US17167,17167,"Sangamon County, Illinois",189438,*****,2005,"Sangamon County, IL, USA"
0500000US17179,17179,"Tazewell County, Illinois",126797,*****,2005,"Tazewell County, IL, USA"
0500000US17183,17183,"Vermilion County, Illinois",79235,*****,2005,"Vermilion County, IL, USA"
0500000US17197,17197,"Will County, Illinois",634183,*****,2005,"Will County, IL, USA"
0500000US17201,17201,"Winnebago County, Illinois",283565,*****,2005,"Winnebago County, IL, USA"
0500000US18003,18003,"Allen County, Indiana",338279,*****,2005,"Allen County, IN, USA"
0500000US18005,18005,"Bartholomew County, Indiana",72650,*****,2005,"Bartholomew County, IN, USA"
0500000US18019,18019,"Clark County, Indiana",100014,*****,2005,"Clark County, IN, USA"
0500000US18035,18035,"Delaware County, Indiana",108356,*****,2005,"Delaware County, IN, USA"
0500000US18039,18039,"Elkhart County, Indiana",192562,*****,2005,"Elkhart County, IN, USA"
0500000US18043,18043,"Floyd County, Indiana",70932,*****,2005,"Floyd County, IN, USA"
0500000US18053,18053,"Grant County, Indiana",65632,*****,2005,"Grant County, IN, USA"
0500000US18057,18057,"Hamilton County, Indiana",239043,*****,2005,"Hamilton County, IN, USA"
0500000US18063,18063,"Hendricks County, Indiana",123931,*****,2005,"Hendricks County, IN, USA"
0500000US18067,18067,"Howard County, Indiana",83865,*****,2005,"Howard County, IN, USA"
0500000US18081,18081,"Johnson County, Indiana",124745,*****,2005,"Johnson County, IN, USA"
0500000US18085,18085,"Kosciusko County, Indiana",74665,*****,2005,"Kosciusko County, IN, USA"
0500000US18089,18089,"Lake County, Indiana",487663,*****,2005,"Lake County, IN, USA"
0500000US18091,18091,"LaPorte County, Indiana",104164,*****,2005,"LaPorte County, IN, USA"
0500000US18095,18095,"Madison County, Indiana",125161,*****,2005,"Madison County, IN, USA"
0500000US18097,18097,"Marion County, Indiana",844187,*****,2005,"Marion County, IN, USA"
0500000US18105,18105,"Monroe County, Indiana",107671,*****,2005,"Monroe County, IN, USA"
0500000US18109,18109,"Morgan County, Indiana",69141,*****,2005,"Morgan County, IN, USA"
0500000US18127,18127,"Porter County, Indiana",154188,*****,2005,"Porter County, IN, USA"
0500000US18141,18141,"St. Joseph County, Indiana",252673,*****,2005,"St Joseph County, IN, USA"
0500000US18157,18157,"Tippecanoe County, Indiana",139317,*****,2005,"Tippecanoe County, IN, USA"
0500000US18163,18163,"Vanderburgh County, Indiana",165769,*****,2005,"Vanderburgh County, IN, USA"
0500000US18167,18167,"Vigo County, Indiana",95094,*****,2005,"Vigo County, IN, USA"
0500000US18177,18177,"Wayne County, Indiana",66972,*****,2005,"Wayne County, IN, USA"
0500000US19013,19013,"Black Hawk County, Iowa",120313,*****,2005,"Black Hawk County, IA, USA"
0500000US19061,19061,"Dubuque County, Iowa",86626,*****,2005,"Dubuque County, IA, USA"
0500000US19103,19103,"Johnson County, Iowa",108919,*****,2005,"Johnson County, IA, USA"
0500000US19113,19113,"Linn County, Iowa",193749,*****,2005,"Linn County, IA, USA"
0500000US19153,19153,"Polk County, Iowa",391914,*****,2005,"Polk County, IA, USA"
0500000US19155,19155,"Pottawattamie County, Iowa",87999,*****,2005,"Pottawattamie County, IA, USA"
0500000US19163,19163,"Scott County, Iowa",157749,*****,2005,"Scott County, IA, USA"
0500000US19169,19169,"Story County, Iowa",70480,*****,2005,"Story County, IA, USA"
0500000US19193,19193,"Woodbury County, Iowa",99729,*****,2005,"Woodbury County, IA, USA"
0500000US20045,20045,"Douglas County, Kansas",94200,*****,2005,"Douglas County, KS, USA"
0500000US20091,20091,"Johnson County, Kansas",501584,*****,2005,"Johnson County, KS, USA"
0500000US20103,20103,"Leavenworth County, Kansas",64791,2344,2005,"Leavenworth County, KS, USA"
0500000US20173,20173,"Sedgwick County, Kansas",459902,*****,2005,"Sedgwick County, KS, USA"
0500000US20177,20177,"Shawnee County, Kansas",167513,*****,2005,"Shawnee County, KS, USA"
0500000US20209,20209,"Wyandotte County, Kansas",154158,*****,2005,"Wyandotte County, KS, USA"
0500000US21015,21015,"Boone County, Kentucky",105684,*****,2005,"Boone County, KY, USA"
0500000US21029,21029,"Bullitt County, Kentucky",68243,*****,2005,"Bullitt County, KY, USA"
0500000US21037,21037,"Campbell County, Kentucky",85210,*****,2005,"Campbell County, KY, USA"
0500000US21047,21047,"Christian County, Kentucky",64062,*****,2005,"Christian County, KY, USA"
0500000US21059,21059,"Daviess County, Kentucky",90465,*****,2005,"Daviess County, KY, USA"
0500000US21067,21067,"Fayette County, Kentucky",255389,*****,2005,"Fayette County, KY, USA"
0500000US21093,21093,"Hardin County, Kentucky",93024,*****,2005,"Hardin County, KY, USA"
0500000US21111,21111,"Jefferson County, Kentucky",687032,*****,2005,"Jefferson County, KY, USA"
0500000US21117,21117,"Kenton County, Kentucky",151799,*****,2005,"Kenton County, KY, USA"
0500000US21151,21151,"Madison County, Kentucky",72450,*****,2005,"Madison County, KY, USA"
0500000US21195,21195,"Pike County, Kentucky",65976,*****,2005,"Pike County, KY, USA"
0500000US21227,21227,"Warren County, Kentucky",93401,*****,2005,"Warren County, KY, USA"
0500000US22005,22005,"Ascension Parish, Louisiana",89855,*****,2005,"Ascension Parish, LA, USA"
0500000US22015,22015,"Bossier Parish, Louisiana",103391,*****,2005,"Bossier Parish, LA, USA"
0500000US22017,22017,"Caddo Parish, Louisiana",244819,*****,2005,"Caddo Parish, LA, USA"
0500000US22019,22019,"Calcasieu Parish, Louisiana",180709,*****,2005,"Calcasieu Parish, LA, USA"
0500000US22033,22033,"East Baton Rouge Parish, Louisiana",396735,*****,2005,"East Baton Rouge Parish, LA, USA"
0500000US22045,22045,"Iberia Parish, Louisiana",72773,*****,2005,"Iberia Parish, LA, USA"
0500000US22051,22051,"Jefferson Parish, Louisiana",448578,*****,2005,"Jefferson Parish, LA, USA"
0500000US22055,22055,"Lafayette Parish, Louisiana",192448,*****,2005,"Lafayette Parish, LA, USA"
0500000US22057,22057,"Lafourche Parish, Louisiana",90543,*****,2005,"Lafourche Parish, LA, USA"
0500000US22063,22063,"Livingston Parish, Louisiana",108622,*****,2005,"Livingston Parish, LA, USA"
0500000US22071,22071,"Orleans Parish, Louisiana",437186,*****,2005,"Orleans Parish, LA, USA"
0500000US22073,22073,"Ouachita Parish, Louisiana",143857,*****,2005,"Ouachita Parish, LA, USA"
0500000US22079,22079,"Rapides Parish, Louisiana",123090,*****,2005,"Rapides Parish, LA, USA"
0500000US22087,22087,"St. Bernard Parish, Louisiana",64576,*****,2005,"St Bernard Parish, LA, USA"
0500000US22097,22097,"St. Landry Parish, Louisiana",88409,*****,2005,"St Landry Parish, LA, USA"
0500000US22103,22103,"St. Tammany Parish, Louisiana",217999,*****,2005,"St Tammany Parish, LA, USA"
0500000US22105,22105,"Tangipahoa Parish, Louisiana",103261,*****,2005,"Tangipahoa Parish, LA, USA"
0500000US22109,22109,"Terrebonne Parish, Louisiana",106078,*****,2005,"Terrebonne Parish, LA, USA"
0500000US23001,23001,"Androscoggin County, Maine",104298,*****,2005,"Androscoggin County, ME, USA"
0500000US23003,23003,"Aroostook County, Maine",71046,*****,2005,"Maine, ME 04736, USA"
0500000US23005,23005,"Cumberland County, Maine",264737,*****,2005,"Cumberland County, ME, USA"
0500000US23011,23011,"Kennebec County, Maine",117620,*****,2005,"Kennebec County, ME, USA"
0500000US23019,23019,"Penobscot County, Maine",140625,*****,2005,"Penobscot County, ME, USA"
0500000US23031,23031,"York County, Maine",198899,*****,2005,"York County, ME, USA"
0500000US24001,24001,"Allegany County, Maryland",67114,*****,2005,"Allegany County, MD, USA"
0500000US24003,24003,"Anne Arundel County, Maryland",494676,*****,2005,"Anne Arundel County, MD, USA"
0500000US24005,24005,"Baltimore County, Maryland",767597,*****,2005,"Baltimore County, MD, USA"
0500000US24009,24009,"Calvert County, Maryland",87303,*****,2005,"Calvert County, MD, USA"
0500000US24013,24013,"Carroll County, Maryland",164663,*****,2005,"Carroll County, MD, USA"
0500000US24015,24015,"Cecil County, Maryland",96309,*****,2005,"Cecil County, MD, USA"
0500000US24017,24017,"Charles County, Maryland",137341,*****,2005,"Charles County, MD, USA"
0500000US24021,24021,"Frederick County, Maryland",215877,*****,2005,"Frederick County, MD, USA"
0500000US24025,24025,"Harford County, Maryland",237644,*****,2005,"Harford County, MD, USA"
0500000US24027,24027,"Howard County, Maryland",265755,*****,2005,"Howard County, MD, USA"
0500000US24031,24031,"Montgomery County, Maryland",918046,*****,2005,"Montgomery County, MD, USA"
0500000US24033,24033,"Prince George's County, Maryland",828834,*****,2005,"Prince George's County, MD, USA"
0500000US24037,24037,"St. Mary's County, Maryland",93301,*****,2005,"Mechanicsville, MD 20659, USA"
0500000US24043,24043,"Washington County, Maryland",132574,*****,2005,"Washington County, MD, USA"
0500000US24045,24045,"Wicomico County, Maryland",87334,*****,2005,"Wicomico County, MD, USA"
0500000US24510,24510,"Baltimore city, Maryland",608481,*****,2005,"Baltimore, MD, USA"
0500000US25001,25001,"Barnstable County, Massachusetts",220838,*****,2005,"Barnstable County, MA, USA"
0500000US25003,25003,"Berkshire County, Massachusetts",125654,*****,2005,"Berkshire County, MA, USA"
0500000US25005,25005,"Bristol County, Massachusetts",533310,*****,2005,"Bristol County, MA, USA"
0500000US25009,25009,"Essex County, Massachusetts",721625,*****,2005,"Essex County, MA, USA"
0500000US25011,25011,"Franklin County, Massachusetts",70928,*****,2005,"Franklin County, MA, USA"
0500000US25013,25013,"Hampden County, Massachusetts",447309,*****,2005,"Hampden County, MA, USA"
0500000US25015,25015,"Hampshire County, Massachusetts",135676,*****,2005,"Hampshire County, MA, USA"
0500000US25017,25017,"Middlesex County, Massachusetts",1405511,*****,2005,"Middlesex County, MA, USA"
0500000US25021,25021,"Norfolk County, Massachusetts",636632,*****,2005,"Norfolk County, MA, USA"
